日本語,Romaji,한국어,歌,Singer,가수,作詞,Lyrics,작사,作曲,Compose,작곡,編曲,Arrange,편곡,Album,Release,Link,Note
WHITE FIRST LOVE,WHITE FIRST LOVE,WHITE FIRST LOVE,黒澤ダイヤ,Dia Kurosawa,쿠로사와 다이아,,,,,,,,,,,2018-04-24,https://youtu.be/uFG5GQnfJyI,TVA2 BD Vol.5
New winding road,New winding road,New winding road,小原鞠莉,Mari Ohara,오하라 마리,,,,,,,,,,,2018-05-25,https://youtu.be/MV_2CLqrc4U,TVA2 BD Vol.6
さかなかなんだか？,Sakanakanandaka?,물고기 카난일까?,松浦果南,Kanan Matsuura,마츠우라 카난,,,,,,,,,,,2018-05-25,https://youtu.be/HE7VFFmc1Rs,TVA2 BD Vol.6
キセキヒカル,Kiseki Hikaru,기적이 빛나다,Aqours,Aqours,Aqours,,,,,,,,,,,2018-06-22,https://youtu.be/KpkjThm33Fs,TVA2 BD Vol.7
Guilty!? Farewell party,Guilty!? Farewell party,Guilty!? Farewell party,Guilty Kiss,Guilty Kiss,Guilty Kiss,,,,,,,,,,,2018-06-22,https://youtu.be/g9JHbvuNy_A,TVA2 BD Full (animate)
サクラバイバイ,Sakura Bye Bye,벚꽃 바이바이,CYaRon!,CYaRon!,CYaRon!,,,,,,,,,,,2018-06-22,https://youtu.be/rhhDXqG1ZOk,TVA2 BD Full (Gamers)
卒業ですね,Sotsugyou desu ne,졸업이네요,AZALEA,AZALEA,AZALEA,,,,,,,,,,,2018-06-22,https://youtu.be/G18GrBZ4wnE,TVA2 BD Full (Sofmap)
ホップ・ステップ・ワーイ！,Hop・Step・Wai!,Hop・Step・와이!,Aqours,Aqours,Aqours,,,,,,,,,,,2018-06-30,https://youtu.be/zpVK5vGNDNI,
ホップ・ステップ・ワーイ！ (CYaRon! ver.),Hop・Step・Wai! (CYaRon! ver.),Hop・Step・와이! (CYaRon! ver.),CYaRon!,CYaRon!,CYaRon!,,,,,,,,,,,2018-06-30,https://youtu.be/gSsTtbe8bnw,
ホップ・ステップ・ワーイ！ (AZALEA ver.),Hop・Step・Wai! (AZALEA ver.),Hop・Step・와이! (AZALEA ver.),AZALEA,AZALEA,AZALEA,,,,,,,,,,,2018-06-30,https://youtu.be/EAsyHX-H8fU,
