Album,Track,日本語,Romaji,한국어,歌,Singer,가수,作詞,Lyrics,작사,作曲,Compose,작곡,編曲,Arrange,편곡,Release,Link,Category,Note,発音
TVA1 BD Vol.1,1,Pops heartで踊るんだもん！,Pops heart de Odorundamon!,Pops heart로 춤추는 걸!,Aqours,Aqours,Aqours,畑 亜貴,Aki Hata,하타 아키,高田 暁,Kyo Takada,타카다 쿄,高田 暁,Kyo Takada,타카다 쿄,2016-09-27,https://youtu.be/A_fOcLUppZw,Aqours,"TVA1 BD Vol.1, Link is from the Aqours CHRONICLE (2015~2017)",ポップス ハート で おどるんだ もん
TVA1 BD Vol.1,2,Pops heartで踊るんだもん！ (Off Vocal),Pops heart de Odorundamon! (Off Vocal),Pops heart로 춤추는 걸! (Off Vocal),Aqours,Aqours,Aqours,畑 亜貴,Aki Hata,하타 아키,高田 暁,Kyo Takada,타카다 쿄,高田 暁,Kyo Takada,타카다 쿄,2016-09-27,NA,Aqours,TVA1 BD Vol.1,ポップス ハート で おどるんだ もん (オフボーカル)
TVA1 BD Vol.2,1,空も心も晴れるから,Sora mo Kokoro mo Hareru kara,하늘도 마음도 맑을 테니까,高海千歌;桜内梨子;渡辺曜,Chika Takami;Riko Sakurauchi;You Watanabe,타카미 치카;사쿠라우치 리코;와타나베 요우,畑 亜貴,Aki Hata,하타 아키,原田 篤(Arte Refact),Atsushi Harada(Arte Refact),하라다 아츠시(Arte Refact),脇 眞富(Arte Refact),Masatomi Waki(Arte Refact),와키 마사토미(Arte Refact),2016-10-26,https://youtu.be/OprHYSjg5zQ,Aqours,"TVA1 BD Vol.2, Link is from the Aqours CHRONICLE (2015~2017)",そらもこころもはれるから
TVA1 BD Vol.2,2,空も心も晴れるから (Off Vocal),Sora mo Kokoro mo Hareru kara (Off Vocal),하늘도 마음도 맑을 테니까 (Off Vocal),高海千歌;桜内梨子;渡辺曜,Chika Takami;Riko Sakurauchi;You Watanabe,타카미 치카;사쿠라우치 리코;와타나베 요우,畑 亜貴,Aki Hata,하타 아키,原田 篤(Arte Refact),Atsushi Harada(Arte Refact),하라다 아츠시(Arte Refact),脇 眞富(Arte Refact),Masatomi Waki(Arte Refact),와키 마사토미(Arte Refact),2016-10-26,NA,Aqours,TVA1 BD Vol.2,そらもこころもはれるから (オフボーカル)
想いよひとつになれ／MIRAI TICKET,1,想いよひとつになれ,Omoi yo Hitotsu ni Nare,마음이여 하나가 되어라,高海千歌;松浦果南;黒澤ダイヤ;渡辺曜;津島善子;国木田花丸;小原鞠莉;黒澤ルビィ,Chika Takami;Kanan Matsuura;Dia Kurosawa;You Watanabe;Yoshiko Tsushima;Hanamaru Kunikida;Mari Ohara;Ruby Kurosawa,타카미 치카;마츠우라 카난;쿠로사와 다이아;와타나베 요우;츠시마 요시코;쿠니키다 하나마루;오하라 마리;쿠로사와 루비,畑 亜貴,Aki Hata,하타 아키,佐伯高志,Takashi Saeki,사에키 타카시,佐伯高志,Takashi Saeki,사에키 타카시,2016-11-09,https://youtu.be/Fz0XoQY3sMw,Aqours,,おもいよひとつになれ
想いよひとつになれ／MIRAI TICKET,2,MIRAI TICKET,MIRAI TICKET,MIRAI TICKET,Aqours,Aqours,Aqours,畑 亜貴,Aki Hata,하타 아키,EFFY,EFFY,EFFY,EFFY,EFFY,EFFY,2016-11-09,https://youtu.be/CvQEhuJoH9I,Aqours,,ミライ チケット
想いよひとつになれ／MIRAI TICKET,3,想いよひとつになれ (Off Vocal),Omoi yo Hitotsu ni Nare (Off Vocal),마음이여 하나가 되어라 (Off Vocal),高海千歌;松浦果南;黒澤ダイヤ;渡辺曜;津島善子;国木田花丸;小原鞠莉;黒澤ルビィ,Chika Takami;Kanan Matsuura;Dia Kurosawa;You Watanabe;Yoshiko Tsushima;Hanamaru Kunikida;Mari Ohara;Ruby Kurosawa,타카미 치카;마츠우라 카난;쿠로사와 다이아;와타나베 요우;츠시마 요시코;쿠니키다 하나마루;오하라 마리;쿠로사와 루비,畑 亜貴,Aki Hata,하타 아키,佐伯高志,Takashi Saeki,사에키 타카시,佐伯高志,Takashi Saeki,사에키 타카시,2016-11-09,NA,Aqours,,おもいよひとつになれ (オフボーカル)
想いよひとつになれ／MIRAI TICKET,4,MIRAI TICKET (Off Vocal),MIRAI TICKET (Off Vocal),MIRAI TICKET (Off Vocal),Aqours,Aqours,Aqours,畑 亜貴,Aki Hata,하타 아키,EFFY,EFFY,EFFY,EFFY,EFFY,EFFY,2016-11-09,NA,Aqours,,ミライ チケット (オフボーカル)
ジングルベルがとまらない,1,ジングルベルがとまらない,Jingle Bells ga Tomaranai,징글벨이 멈추지 않아,Aqours,Aqours,Aqours,畑 亜貴,Aki Hata,하타 아키,光増ハジメ,Hajime Mitsumasu,미츠마스 하지메,EFFY,EFFY,EFFY,2016-11-23,https://youtu.be/FEi3wdJYIFQ,Aqours,,
ジングルベルがとまらない,2,聖なる日の祈り,Seinaru Hi no Inori,성스러운 날의 기도,Aqours,Aqours,Aqours,畑 亜貴,Aki Hata,하타 아키,田中俊亮,Shunsuke Tanaka,타나카 슌스케,田中俊亮;伊藤 賢,Shunsuke Tanaka;Ken Ito,타나카 슌스케;이토 켄,2016-11-23,https://youtu.be/fREtIttC3LE,Aqours,,
